,brown-haired,light brown,blond,red hair,black
woman43photo4,0.27113433753458344,0.31540116815247465,0.3092529972333231,0.014448201660006148,0.08976329541961267
woman44photo2,0.2980392156862745,0.19215686274509805,0.41568627450980394,0.01568627450980392,0.0784313725490196
woman45photo1,0.1683673469387755,0.14285714285714285,0.39285714285714285,0.00510204081632653,0.29081632653061223
woman45photo2,0.2736318407960199,0.39303482587064675,0.2835820895522388,,0.04975124378109453
woman45photo8,0.1440185830429733,0.3478513356562137,0.48548199767711964,,0.02264808362369338
woman46photo1,0.015861571737563085,0.06236481614996395,0.9051910598413843,0.0014419610670511895,0.01514059120403749
woman47photo2,0.2644544997486174,0.27853192559074913,0.12066365007541478,0.2931121166415284,0.043237807943690296
woman48photo0,0.1267175572519084,0.11603053435114503,0.7374045801526717,,0.01984732824427481
woman49photo0,0.20267131242741,0.34494773519163763,0.41114982578397213,0.005807200929152149,0.03542392566782811
woman49photo1,0.3111979166666667,0.3359375,0.3001302083333333,0.0006510416666666666,0.052083333333333336
woman49photo2,0.21428571428571427,0.32321428571428573,0.29017857142857145,0.014285714285714285,0.15803571428571428
woman49photo3,0.3206312548113934,0.2721324095458045,0.3183217859892225,0.01424172440338722,0.07467282525019246
woman49photo4,0.2720271102895872,0.3139248305606901,0.3099199014171288,0.014171287738755391,0.08995686999383858
woman50photo1,0.1476923076923077,0.3523076923076923,0.4107692307692308,0.026153846153846153,0.06307692307692307
woman50photo4,0.10430839002267574,0.24263038548752835,0.5124716553287982,0.09297052154195011,0.047619047619047616
woman51photo3,0.13270142180094788,0.35969069593414815,0.33424794213020703,0.1608880019955101,0.012471938139186829
woman51photo4,0.08714408973252805,0.46764452113891286,0.33045729076790337,0.08239861949956859,0.032355478861087146
woman51photo6,0.12675018422991893,0.26676492262343404,0.46868091378039795,0.08179808400884303,0.05600589535740604
woman52photo1,0.07647058823529412,0.4676470588235294,0.4235294117647059,,0.03235294117647059
woman52photo2,0.04523107177974434,0.14060963618485742,0.7885939036381514,0.0029498525073746312,0.02261553588987217
woman52photo3,0.031462281015373614,0.07901322845906328,0.8641401501608866,0.011083303539506614,0.014301036825169824
woman52photo4,0.04657534246575343,0.138013698630137,0.7791095890410958,0.013013698630136987,0.023287671232876714
woman53photo2,0.10652920962199312,0.33505154639175255,0.4381443298969072,0.09106529209621993,0.029209621993127148
woman53photo6,0.35150375939849626,0.35150375939849626,0.20770676691729323,0.013157894736842105,0.07612781954887218
woman54photo0,0.10959681998864282,0.24815445769449176,0.4338444065871664,0.04770017035775128,0.16070414537194777
woman54photo2,0.08245445829338446,0.3566634707574305,0.50143815915628,0.0364333652924257,0.023010546500479387
woman55photo5,0.38384512683578104,0.35113484646194926,0.22563417890520696,0.01602136181575434,0.02336448598130841
woman57photo2,0.05226480836236934,0.10452961672473868,0.7560975609756098,0.010452961672473868,0.07665505226480836
woman58photo4,0.11375661375661375,0.18027210884353742,0.690854119425548,0.0007558578987150416,0.01436130007558579
woman59photo0,0.2560747663551402,0.34579439252336447,0.3514018691588785,,0.04672897196261682
woman59photo2,0.23094170403587444,0.2103139013452915,0.4349775784753363,0.01210762331838565,0.11165919282511211
woman61photo0,0.10982658959537572,0.37572254335260113,0.3988439306358382,0.07514450867052024,0.04046242774566474
woman61photo3,0.06474820143884892,0.02877697841726619,0.7014388489208633,0.17266187050359713,0.03237410071942446
woman61photo4,0.048005409060175794,0.2129817444219067,0.7234617985125085,0.002704530087897228,0.012846517917511832
woman62photo2,,,,,
